page_no,num,title,rating,available,price,seller,page_link,product_link
1,0,MI Power Bank 3i 20000mAh Lithium Polymer 18W Fast Power Delivery Charging | Input- Type C | Micro USB| Triple Output | Sandstone Black,4.2,True,"2,149",Cocoblu Retail,https://www.amazon.in/s?i=electronics&rh=n%3A6612025031&fs=true&page=1&qid=1685600480&ref=sr_pg_1,https://www.amazon.in/20000mAh-Sandstone-Triple-Charging-Delivery/dp/B08HV83HL3/ref=sr_1_1?qid=1685610088&s=electronics&sr=1-1
1,1,"Mi 10000mAH Li-Polymer, Micro-USB and Type C Input Port, Power Bank 3i with 18W Fast Charging (Midnight Black)",4.2,True,"1,299",Cocoblu Retail,https://www.amazon.in/s?i=electronics&rh=n%3A6612025031&fs=true&page=1&qid=1685600480&ref=sr_pg_1,https://www.amazon.in/10000mAH-Li-Polymer-Power-Charging-Midnight/dp/B08HVL8QN3/ref=sr_1_2?qid=1685610088&s=electronics&sr=1-2
1,2,"MI 10000mAh Lithium Ion, Lithium Polymer Power Bank Pocket Pro with 22.5 Watt Fast Charging, Dual Input Ports(Micro-USB and Type C), Triple Output Ports, (Black)",4.3,True,"1,699",Cocoblu Retail,https://www.amazon.in/s?i=electronics&rh=n%3A6612025031&fs=true&page=1&qid=1685600480&ref=sr_pg_1,https://www.amazon.in/Pocket-10000mAh-Triple-Charging-Delivery/dp/B08MC57J31/ref=sr_1_3?qid=1685610088&s=electronics&sr=1-3
1,3,"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Black)",3.9,True,999,Cocoblu Retail,https://www.amazon.in/s?i=electronics&rh=n%3A6612025031&fs=true&page=1&qid=1685600480&ref=sr_pg_1,https://www.amazon.in/Ambrane-Multi-Layer-Protection-Li-Polymer-Stylo-10k/dp/B0993BB11X/ref=sr_1_4?qid=1685610088&s=electronics&sr=1-4
1,4,"Ambrane 20000mAh Power Bank with 20W Fast Charging, Triple Output, Power Delivery, Type C Input, Made in India, Multi-Layer Protection, Li-Polymer + Type C Cable (Stylo-20k, Black)",4.0,True,"1,899",Cocoblu Retail,https://www.amazon.in/s?i=electronics&rh=n%3A6612025031&fs=true&page=1&qid=1685600480&ref=sr_pg_1,https://www.amazon.in/Ambrane-20000mAh-Lithium-Polymer-Stylo-20K/dp/B07RD611Z8/ref=sr_1_5?qid=1685610088&s=electronics&sr=1-5
1,5,MI 10000mAh 3i Lithium Polymer Power Bank Dual Input(Micro-USB and Type C) and Output Ports 18W Fast Charging (Metallic Blue),4.2,True,"1,299",Cocoblu Retail,https://www.amazon.in/s?i=electronics&rh=n%3A6612025031&fs=true&page=1&qid=1685600480&ref=sr_pg_1,https://www.amazon.in/Power-10000mAh-Metallic-Output-Charging/dp/B08HVJCW95/ref=sr_1_6?qid=1685610088&s=electronics&sr=1-6
1,6,"Ambrane 20000mAh Power Bank, 20W Fast Charging, Tripe Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo 20K, Blue)",4.0,True,"1,899",Cocoblu Retail,https://www.amazon.in/s?i=electronics&rh=n%3A6612025031&fs=true&page=1&qid=1685600480&ref=sr_pg_1,https://www.amazon.in/Ambrane-Multi-Layer-Protection-Li-Polymer-Stylo-20k/dp/B09MZDVQCC/ref=sr_1_7?qid=1685610088&s=electronics&sr=1-7
1,7,"Ambrane 27000mAh Power Bank, 20W Fast Charging, Triple Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Pro, Black)",4.1,True,"2,499",Cocoblu Retail,https://www.amazon.in/s?i=electronics&rh=n%3A6612025031&fs=true&page=1&qid=1685600480&ref=sr_pg_1,https://www.amazon.in/Ambrane-Multi-Layer-Protection-Li-Polymer-Stylo/dp/B098QXR9X2/ref=sr_1_8?qid=1685610088&s=electronics&sr=1-8
1,8,"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Green)",3.9,True,999,Cocoblu Retail,https://www.amazon.in/s?i=electronics&rh=n%3A6612025031&fs=true&page=1&qid=1685600480&ref=sr_pg_1,https://www.amazon.in/Ambrane-Multi-Layer-Protection-Li-Polymer-Stylo-10k/dp/B09MZCQYHZ/ref=sr_1_9?qid=1685610088&s=electronics&sr=1-9
1,9,"SYSKA Power Bank 10000mah | 6 Months Warranty | Powerbank, Battery Bank, Quick Charging 18W P1029J Power Bank with High-Energy Density Polymer Cell with Triple Output Port (Dynamic Black)",3.8,True,899,Cocoblu Retail,https://www.amazon.in/s?i=electronics&rh=n%3A6612025031&fs=true&page=1&qid=1685600480&ref=sr_pg_1,https://www.amazon.in/SYSKA-Charging-High-Energy-Density-Polymer/dp/B08XXN8CNS/ref=sr_1_10?qid=1685610088&s=electronics&sr=1-10
